name,slug,type,website,phone,email,address,coverage,trust_score,gphc_registered,cqc_regulated,mhra_compliant,gmc_doctors,medications,consultation_fee,consultation_method,bmi_requirement,wait_time,special_offers,delivery_options,locations,rating,review_count,image_url,logo_url,description,id,created_date,updated_date,created_by_id,is_sample
"Click2Pharmacy","click2pharmacy","Pharmacy Chain","https://www.click2pharmacy.com","","","","","","","","","","{""Mounjaro"":{""2.5mg"":130,""5mg"":139,""7.5mg"":169,""10mg"":184,""12.5mg"":199,""15mg"":229},""Wegovy"":{""0.25mg"":125,""0.5mg"":138,""1mg"":149,""1.7mg"":220,""2.4mg"":254},""Saxenda"":{""1 pen"":70,""2 pens"":135,""3 pens"":200,""4 pens"":265}}","","","","Same day","10% off","","[]","4.5","2393","","","Click2Pharmacy is a UK-based online pharmacy offering a range of medical treatments and services, including NHS prescriptions, private consultations, and local services at their Oldham clinic.","688a9d6bb11dc9f10b3796b4","2025-07-30T22:32:11.819000","2025-08-02T23:20:39.083000","6886aa4a7118eb838f680beb",""
"Ashcroft Pharmacy","ashcroft-pharmacy","Pharmacy Chain","https://ashcroftpharmacy.co.uk","","","","","","","","","","{""Mounjaro"":{""2.5mg"":127,""5mg"":141,""7.5mg"":152,""10mg"":162,""12.5mg"":187,""15mg"":197}}","","","","","Free Standard Delivery Over £50","","[]","4.8","6992","","","Ashcroft Pharmacy is a family-owned UK online pharmacy established in 2015, offering a wide range of treatments through a free online prescription service. They provide discreet delivery of authentic and safe medications, with all prescriptions dispensed by GPhC-registered pharmacists. Their services include free online consultations and express delivery.","688a9d6bb11dc9f10b3796b5","2025-07-30T22:32:11.837000","2025-08-02T23:20:43.632000","6886aa4a7118eb838f680beb",""
"Asda Online Doctor","asda-online-doctor","Online Doctor Service","https://www.asda.com/services/online-doctor","","","","","","","","","","{""Mounjaro"":{""2.5mg"":129,""5mg"":139,""7.5mg"":149,""10mg"":189,""12.5mg"":204,""15mg"":204},""Wegovy"":{""0.25mg"":119,""0.5mg"":139,""1mg"":149,""1.7mg"":179}}","","","","72 working hours","","","[]","1.9","30","","","Asda Online Doctor by ZAVA offers convenient and affordable healthcare services, including medical advice, prescriptions, and treatments for a wide range of health needs, all accessible from the comfort of your home.","688a9d6bb11dc9f10b3796b6","2025-07-30T22:32:11.843000","2025-08-02T23:20:45.434000","6886aa4a7118eb838f680beb",""
"Boots Online Doctor","boots-online-doctor","Online Doctor Service","https://www.boots.com/online-doctor","","","","","","","","","","{""Mounjaro"":{""2.5mg"":219,""5mg"":219,""7.5mg"":229,""10mg"":229,""12.5mg"":249,""15mg"":249},""Wegovy"":{""0.25mg"":199,""0.5mg"":199,""1mg"":199,""1.7mg"":249,""2.4mg"":299}}","15","","","2-24 hours","20% off Hayfever & Migraine Treatment Services with code ALLERGY20; 20% off Skin Condition Diagnosis Service with code WINTERSKIN; 25% off weight loss for new customers with code NEW25","","[]","","","","","Boots Online Doctor offers convenient, discreet access to prescription treatments and home test kits for various health conditions, including skin issues, sexual health, weight loss, and more, without the need for a GP appointment.","688a9d6bb11dc9f10b3796b7","2025-07-30T22:32:11.849000","2025-08-02T23:20:49.947000","6886aa4a7118eb838f680beb",""
"Bolt Pharmacy","bolt-pharmacy","Pharmacy Chain","https://boltpharmacy.com","","","","","","","","","","{""Mounjaro"":{""2.5mg"":121,""5mg"":153,""7.5mg"":183,""10mg"":183,""12.5mg"":203,""15mg"":203}}","","","","3 working days","","","[]","4.8","229","","","Bolt Pharmacy is a UK-registered online pharmacy and clinical prescribing service regulated by the General Pharmaceutical Council. They offer confidential health consultations and a wide range of over-the-counter and prescription medications accessible across the United Kingdom. Their services include treatments for weight loss, erectile dysfunction, men's and women's health, travel health, and more. They are committed to providing swift and convenient access to medicines, ensuring patient safety and well-being.","688a9d6bb11dc9f10b3796b8","2025-07-30T22:32:11.854000","2025-08-02T23:20:53.934000","6886aa4a7118eb838f680beb",""
"Chemist-4-U","chemist-4-u","Private Clinic","https://www.chemist-4-u.com","","","","","","","","","","{""Mounjaro"":{""2.5mg"":129,""5mg"":129,""7.5mg"":169,""10mg"":179,""12.5mg"":189,""15mg"":189},""Wegovy"":{""0.25mg"":125,""0.5mg"":169,""1mg"":169,""1.7mg"":224,""2.4mg"":269},""Saxenda"":{""1 pen"":75,""2 pens"":150,""3 pens"":225,""5 pens"":375}}","","","","","Free delivery on orders over £30*","","[]","4.8","104705","","","Chemist4U is a UK-based online pharmacy offering a wide range of healthcare products and services, including prescription medications, over-the-counter treatments, and health and beauty items. They provide free delivery on NHS prescriptions and emphasize discreet packaging. The company is regulated by the General Pharmaceutical Council and operates from registered pharmacy premises in Skelmersdale, Lancashire. Chemist4U is committed to customer privacy and offers professional advice through their 'Ask a Pharmacist' service.","688a9d6bb11dc9f10b3796b9","2025-07-30T22:32:11.860000","2025-08-02T23:20:59.491000","6886aa4a7118eb838f680beb",""
"Assured Pharmacy","assured-pharmacy","Pharmacy Chain","https://assuredpharmacy.com/","","","","","","","","","","{""Mounjaro"":{""2.5mg"":150,""5mg"":150,""7.5mg"":170,""10mg"":190,""12.5mg"":210,""15mg"":210}}","","","","","","","[]","","","","","","688a9d6bb11dc9f10b3796ba","2025-07-30T22:32:11.871000","2025-08-01T06:09:04.913000","6886aa4a7118eb838f680beb",""
"Assured Pharmacy","assured-pharmacy","Pharmacy Chain","https://www.cloudpharmacy.co.uk","","","","","","","","","","{""2.5mg"":149.95,""5mg"":149.95,""7.5mg"":169.95,""10mg"":189.95,""12.5mg"":209.95,""15mg"":209.95}","","","","","","","[]","","","","","Assured Pharmacy is an online pharmacy specializing in treatments for erectile dysfunction, weight loss, hair loss, and premature ejaculation. They offer free tracked delivery, a lowest UK price guarantee, and operate as a safe UK-regulated pharmacy. Orders placed before 3:45pm are processed the same day.","688af5dd78330f628025baf2","2025-07-31T04:49:33.862000","2025-08-02T23:21:06.602000","6886aa4a7118eb838f680beb",""
"Asda Online Doctor","asda-online-doctor","Online Doctor Service","https://onlinedoctor.asda.com/weight-loss-treatment/mounjaro","","","","","","","","","","{""2.5mg"":128.98,""5mg"":138.98,""7.5mg"":148.98,""10mg"":189,""12.5mg"":204,""15mg"":204,""0.25mg"":118.98,""0.5mg"":138.98,""1mg"":148.98,""1.7mg"":178.98}","","","","","£30 off for new customers on first order","","[]","","","","","Asda Online Doctor offers Mounjaro (tirzepatide) weight loss injections in various doses, starting from £179.00 for the 2.5mg and 5mg doses, with prices increasing for higher doses. They provide a comprehensive weight loss support package that includes ongoing doctor support and a free weight loss support pack. Customers can benefit from a holistic approach to weight loss, which combines medication with diet and exercise plans. Additionally, users can message doctors for free through their online account for any concerns during treatment.","688af5dd78330f628025baf3","2025-07-31T04:49:33.882000","2025-08-02T23:21:08.847000","6886aa4a7118eb838f680beb",""
"Ashcroft Pharmacy","ashcroft-pharmacy","Pharmacy Chain","https://www.cloudpharmacy.co.uk","","","","","","","","","","{""2.5mg"":126.99,""5mg"":140.99,""7.5mg"":151.99,""10mg"":161.99,""12.5mg"":186.99,""15mg"":196.99}","","","","Next working day","Free standard delivery on orders over £50","","[]","4.8","7000","","","Ashcroft Pharmacy is a family-owned, fully regulated UK online pharmacy established in 2015, offering a wide range of treatments through a free online prescription service, with fast and discreet delivery.","688af5dd78330f628025baf4","2025-07-31T04:49:33.893000","2025-08-02T23:21:14.368000","6886aa4a7118eb838f680beb",""
"Bolt Pharmacy","bolt-pharmacy","Pharmacy Chain","https://www.well.co.uk/weight-loss","","","","","","","","","","{""2.5mg"":120.9,""5mg"":152.9,""7.5mg"":182.9,""10mg"":182.9,""12.5mg"":202.9,""15mg"":202.9}","24.06","","","Same day","1st month promo £29 off","","[]","4.8","230","","","Bolt Pharmacy is a UK-registered online pharmacy and clinical prescribing service regulated by the General Pharmaceutical Council. They offer confidential health consultations and a wide range of over-the-counter and prescription medications accessible across the United Kingdom. Their weight loss treatments include GLP-1 medications like Wegovy® and Mounjaro®, which have been clinically proven to aid in weight loss and improve metabolic health.","688af5dd78330f628025baf5","2025-07-31T04:49:33.899000","2025-08-02T23:21:16.163000","6886aa4a7118eb838f680beb",""
"Chemist-4-U","chemist-4-u","Private Clinic","https://www.chemist-4-u.co.uk","","","","","","","","","","{""2.5mg"":129,""5mg"":129,""7.5mg"":169,""10mg"":179,""12.5mg"":189,""15mg"":189,""0.25mg"":125,""0.5mg"":169,""1mg"":169,""1.7mg"":224,""2.4mg"":269,""1 pen"":75,""2 pens"":150,""3 pens"":225,""5 pens"":375}","","","","","","","[]","4.8","104705","","","Chemist4U is a UK-based online pharmacy established in 2011, offering a wide range of healthcare products and services, including prescription medications, over-the-counter medicines, and health and beauty items. They provide free delivery on NHS prescriptions and emphasize customer privacy with discreet packaging. The company is regulated by the General Pharmaceutical Council and operates from registered pharmacy premises in Skelmersdale, Lancashire. Chemist4U has received positive reviews on Trustpilot, with a rating of 4.8 out of 5 based on over 100,000 reviews.","688af5dd78330f628025baf6","2025-07-31T04:49:33.903000","2025-08-02T23:21:19.672000","6886aa4a7118eb838f680beb",""
