"Provider,2.5 mg,5 mg,7.5 mg,10 mg,12.5 mg,15 mg,TrustPilot,GPhC,Notes"
"ASDA,133.48,143.48,153.48,163.48,203.48,203.98,1.9,1116105,No discount available[1]"
"AYP Healthcare,109.99,124.99,134.99,134.99,154.99,164.99,3.1,9011523,Information page only[1]"
"Ashcroft Pharmacy,126.99,140.99,151.99,161.99,186.99,206.99,4.8,1028841,"
"Assured Pharmacy,155.90,155.90,175.90,195.90,215.90,215.90,4.5,1121967,SUB programme[1]"
"Boots,219.00,219.00,229.00,229.00,249.00,249.00,4.1,1034053,In-store pick-up only[1]"
"Chemist4U,132.95,132.95,172.95,182.95,192.95,192.95,4.8,9011784,Details page[1]"
"Click Pharmacy,143.99,143.99,159.99,167.99,191.99,191.99,4.7,9011460,“20 % off” auto-applied[1]"
"Cloud Pharmacy,143.28,143.28,164.28,169.28,184.28,189.28,4.6,9012073,"
"Cured Pharmacy,114.00,114.00,137.00,137.00,162.00,165.00,4.1,9012511,£10–£20 off auto-applied[1]"
"Curely,105.29,109.19,132.59,140.39,155.99,175.99,4.7,9012401,SUB; tiered % discounts[1]"
"Dr Franks,113.95,118.95,128.95,128.95,283.95,283.95,3.3,29012599,50 % off select doses[1]"
"e-Surgery,134.95,144.95,164.95,179.95,199.95,205.95,4.7,9012167,No discount[1]"
"Envigore,199.00,199.00,205.00,205.00,225.00,235.00,4.7,9012382,"
"Farmeci,96.05,135.15,147.05,147.05,165.75,175.95,4.7,9010938,15 % off first order[1]"
"Fylde Clinic,107.00,120.00,135.00,135.00,150.00,165.00,4.9,1109046,Details page[1]"
"Get A Drip,98.47,101.91,119.54,121.26,279.00,289.00,2.8,9012347,SUB; up to 57 % off[1]"
"Happy Pharmacy,102.35,116.75,148.24,157.24,184.25,184.25,4.6,9012585,10 % off first order[1]"
"Health Express,179.99,179.99,189.99,189.99,209.00,229.99,4.7,9011703,"
"IQ Doctor,97.67,102.26,119.95,121.37,141.18,144.71,4.6,9010411,29 % off first; 15 % returning[1]"
"Juniper,139.00,159.00,179.00,179.00,199.00,199.00,4.5,9011842,SUB; £50 off[1]"
"Live Well Weight Loss,116.95,126.95,141.95,141.95,161.95,161.95,4.6,9011842,£11 off first order[1]"
"Lotus Weight Loss,114.99,119.99,139.99,154.99,169.99,169.99,4.6,9011284,£20 off first[1]"
"Lloyds Pharmacy,128.95,183.95,203.95,208.95,223.95,223.95,4.4,9011003,£25 off 2.5 mg[1]"
"MedExpress,153.94,153.94,173.94,193.94,203.94,203.94,4.4,9011509,Stock delays[1]"
"Medicine Marketplace,109.00,135.00,135.00,135.00,145.00,145.00,4.7,1116946,"
"Medicspot,119.00,139.00,149.00,159.00,169.00,179.00,4.4,9012559,SUB; £50–£60 off[1]"
"Morrisons Clinic,129.00,179.00,199.00,209.00,219.00,219.00,4.7,2205052,Dose cap first order[2]"
"MSH Weight Loss,139.00,169.00,189.00,189.00,209.00,209.00,4.5,9012599,"
"myBMI,128.00,139.00,199.00,199.00,210.00,219.00,4.4,9011784,"
"My London Pharmacy,101.15,135.15,147.05,147.05,165.75,175.95,4.6,9011790,15 % off first[1]"
"Numan,104.00,104.00,124.00,124.00,194.00,194.00,4.5,9011408,SUB; referral discounts[1]"
"Oushk,111.99,125.99,141.99,145.99,161.99,165.99,4.9,9012610,£30/£15 off[1]"
"Peak Pharmacy,128.50,128.50,171.00,171.00,198.00,198.00,4.5,9012214,"
"Pharm Aesthetics Central,108.98,119.98,127.98,139.98,164.98,164.98,4.6,9012634,"
"Pharmacy2U,105.25,125.25,135.25,135.25,145.25,145.25,4.6,9010146,£60 off first[1]"
"Pharmacy Express,120.00,127.00,134.95,140.00,169.95,170.00,4.9,9012468,"
"Pharmacy Online,109.48,113.49,133.49,133.49,148.69,148.69,4.5,9011756,20 %/10 % off[1]"
"Pharmacy Planet,120.19,129.19,148.99,157.99,179.59,184.99,4.4,9010288,10 % off first[1]"
"Pharmulous,124.99,129.99,149.99,159.99,169.99,179.99,4.9,9012252,£10 off/£5 repeat[1]"
